BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
MILNER RD / FLINTLOCK DR,,,1,,,,,,,1
MINOR LN / PITCHFORD RD,1,,,,,,,,,1
MINOR LN / REEVES RD,,,,1,,,,,,1
MIRABLE PL / MOLLY MANOR DR,,,,,,,,,1,1
MISTY LN / W PAGES LN,,,,,,1,,,,1
MISTY WOODS LN / SHADY GROVE WAY,1,,,,,,,,,1
MITCHELL HILL RD / ROSEBANK CT,1,,,,,,,,,1
MONTANA AVE / HOMEVIEW DR,,1,,,,,,,,1
MOODY RD / BLUE LICK RD,1,,,,,,,,,1
MOORHAVEN DR / LEDGEROCK RD,1,,,,,,,,,1
MOORHAVEN DR / WOODROW WAY,1,,,,,,,,,1
MOORMAN RD / PLEASANT DR,1,,,,,,,,,1
MOORMAN RD / TIERNEY AVE,,1,,,,,,,,1
MORAN PL / RIDGEDALE RD,,,1,,,,,,,1
MORGAN AVE,1,,,,,,,,,1
MORGAN AVE / FAYETTE AVE,1,,,,,,,,,1
MORNING STAR WAY / SUNKIST WAY,,,,1,,,,,,1
MORNINGSIDE DR / TRINITY RD,,,,1,,,,,,1
MORTON AVE / BARRET AVE,,1,,,,,,,,1
MOSER RD / LA FONTENAY DR,,,1,,,,,,,1
MOSSY OAKS DR / RIMFIRE RD,1,,,,,,,,,1
MOUNT BLANC RD / MOUNT HOLYOKE DR,,,,,,,,,1,1
MOUNT HOLLY AVE / BROWNSBORO RD,1,,,,,,,,,1
MOUNT HOLLY AVE / CLEVELAND BLVD,,,1,,,,,,,1
MOUNT WASHINGTON RD / CHRISTMAN DR,,1,,,,,,,,1
MOUNT WASHINGTON RD / ONANDAGA CT,1,,,,,,,,,1
MT HOLLY RD / NATIONAL TURNPIKE,,,,,,,,,1,1
MUD LN / ANTLE DR,1,,,,,,,,,1
MUD LN / BROOKLEY DR,1,,,,,,,,,1
MURPHY LN / OAKBROOK DR,1,,,,,,,,,1
N 10TH ST,1,,,,,,,,,1
N 16TH ST / NELLIGAN AVE,,1,,,,,,,,1
N 16TH ST / PORTLAND AVE,1,,,,,,,,,1
N 19TH ST / CROP ST,1,,,,,,,,,1
N 1ST ST / W MAIN ST,,,,1,,,,,,1
N 22ND ST / N 22ND ST CONNECTOR,,,,1,,,,,,1
N 25TH ST / TYLER AVE,,,,1,,,,,,1
N 26TH ST / GARFIELD,,,,1,,,,,,1
N 26TH ST / GARFIELD AVE,,1,,,,,,,,1
N 26TH ST / GILLIGAN ST,,,,1,,,,,,1
N 28TH ST / CLEVELAND AVE,,,1,,,,,,,1
N 2ND ST / I 64 RAMP,,,,,,,,,1,1
N 30TH ST / COLUMBIA ST,1,,,,,,,,,1
N 30TH ST / GILLIGAN ST,,,1,,,,,,,1
N 30TH ST / TYLER AVE,,,,1,,,,,,1
N 33RD ST / W MAIN ST,,,,1,,,,,,1
N 36TH ST / ROWAN ST,,,1,,,,,,,1
N 39TH ST / PARKER AVE,,,,,,,,,1,1
N 3RD ST,,,,1,,,,,,1
N 41ST ST,,1,,,,,,,,1
N 42ND ST / MIAMI AVE,,,,,,,,,1,1
N 43RD ST / BANK ST,,,,1,,,,,,1
N 43RD ST / BOONE LN,,,1,,,,,,,1
N 45TH ST / DUNCAN ST,,,1,,,,,,,1
N 8TH ST,1,,,,,,,,,1
N ARBOR PARK / S ARBOR PARK,,1,,,,,,,,1
N ARBOR PARK / SOUTHSIDE DR,1,,,,,,,,,1
N BECKLEY STATION RD / FOREST OAKS DR,1,,,,,,,,,1
N BIRCHWOOD AVE / LINDSAY AVE,,,,1,,,,,,1
N BIRCHWOOD AVE / RIEDLING DR,,,1,,,,,,,1
N CAMPBELL ST / ADAMS ST,,,1,,,,,,,1
N CHARLTON ST / S CHARLTON ST,,1,,,,,,,,1
N CLIFTON AVE / WEIKEL AVE,1,,,,,,,,,1
N ENGLISH STATION RD / URTON LN,1,,,,,,,,,1
N HANCOCK ST / FRANKLIN ST,,1,,,,,,,,1
N HITE AVE / FRANKFORT AVE,,,1,,,,,,,1
N HITE AVE / RIDGEDALE RD,,,1,,,,,,,1
N HUBBARDS LN / BLENHEIM RD,,1,,,,,,,,1
N HURSTBOURNE PKWY/ORMSBY STATION RD,,1,,,,,,,,1
N HURSTBOURNE PKY / HEADLEY HILL RD,,,,1,,,,,,1
N HURSTBOURNE PKY / J CHESTER PORTER PKY,1,,,,,,,,,1
N JACKSON ST,1,,,,,,,,,1
N JANE ST / FRANKFORT AVE,,1,,,,,,,,1
N OF INDIAN TRL / POPLAR LEVEL,1,,,,,,,,,1
N PRESTON ST / E MAIN ST,,,,1,,,,,,1
N SHELBY ST / E MAIN ST,,1,,,,,,,,1
N SHELBY ST / E WATER ST,,1,,,,,,,,1
N SHELBY ST / S SHELBY ST,,,,,,,,,1,1
NACHAND LN / NACHAND SPRINGS LN,1,,,,,,,,,1
NACHAND LN / PLUM TREE LN,,,1,,,,,,,1
NALL AVE / DONALD DR,1,,,,,,,,,1
NANNY GOAT STRUT / S WENZEL ST,1,,,,,,,,,1
NANSEMOND DR / MURPHY LN,,,,1,,,,,,1
NANSEMOND DR / PACELLI PL,,1,,,,,,,,1
NAPA RIDGE CT / VINTAGE CREEK DR,,1,,,,,,,,1
NAPA VALLEY DR / FALCON CREST DR,,,1,,,,,,,1
NAPANEE RD / ST MATTHEWS AVE,,1,,,,,,,,1
NAPLES RD / PINECROFT DR,,,,1,,,,,,1
NATIONAL TPKE / FAIRDALE RD,,,1,,,,,,,1
NATIONAL TPKE / MOUNT HOLLY RD,,1,,,,,,,,1
NATIONAL TPKE N / I265S,1,,,,,,,,,1
NATIONAL TPKE//NEW VENTURE DR,,,,1,,,,,,1
NEAGLI CT / SQUIRE NEAGLI CT,,,1,,,,,,,1
NELLIE BLY DR / STEPHEN FOSTER AVE,,,,1,,,,,,1
NELSON MILLER PKY / OBANNON STATION WAY,1,,,,,,,,,1
NEW CHAMBERLAIN LN / SHENANDOAH DR,1,,,,,,,,,1
NEW CUT RD / PINE CREST CIR,,,1,,,,,,,1
NEW CUT RD/5513,,1,,,,,,,,1
NEW CUT RD/SOUTHSIDE DRIVE,1,,,,,,,,,1
NEW ENGLAND CT / OLD NORTH CHURCH RD,,,,1,,,,,,1
NEW LA GRANGE RD / S PARK PL,1,,,,,,,,,1
NEW LYNNVIEW DR / CANE RUN RD,,1,,,,,,,,1
NEWBURG RD / BISHOP LN,,,1,,,,,,,1
NEWBURG RD / E INDIAN TRL,,1,,,,,,,,1
NEWBURG RD / GOLDSMITH LN,1,,,,,,,,,1
NEWBURG RD / SHADY LN,,,,1,,,,,,1
NEWBURG RD S / I264E,1,,,,,,,,,1
NEWBURG ROAD RAMP / HIKES LN,,1,,,,,,,,1
NEWPORT RD / FEGENBUSH LN,,,1,,,,,,,1
NEWTON CT / NEWTON DR,,,,,,,,,1,1
NICHOLS VIEW CT / MARCH BLVD,,,1,,,,,,,1
NITTA YUMA DR / WOLF PEN BRANCH RD,,,,1,,,,,,1
NOBEL PL / 7TH STREET RD,1,,,,,,,,,1
NOBLITT DR / HIKES LN,,1,,,,,,,,1
NORBOURNE BLVD / WINCHESTER RD,1,,,,,,,,,1
NORDIC DR / STONESTREET RD,1,,,,,,,,,1
NORENE LN / NAOMI DR,,1,,,,,,,,1
NORENE LN / WOODED WAY CT,,,1,,,,,,,1
NORRIS PL / DEER PARK AVE,,1,,,,,,,,1
NORTHLAND CT / NORTHLAND DR,1,,,,,,,,,1
NORTHUMBERLAND DR / DICKERSON CT,,1,,,,,,,,1
NORTHWESTERN PKY / N 29TH ST,1,,,,,,,,,1
NORTHWESTERN PKY / N 31ST ST,1,,,,,,,,,1
NORTHWESTERN PKY / N 34TH ST,,,1,,,,,,,1
NORTHWOOD DR / SILVERBROOK AVE,,,1,,,,,,,1
NORTON AVE / SMILAX AVE,,,,1,,,,,,1
NORTON COMMONS BLVD / WOLF PEN BRANCH RD,,,,1,,,,,,1
NORWOOD DR / OXMOOR LN,1,,,,,,,,,1
NORWOOD DR / WHIPPOORWILL DR,,,,1,,,,,,1
NUGENT CT / E JACOB ST,1,,,,,,,,,1
OAK BEND DR / SHENANDOAH DR,1,,,,,,,,,1
OAK HARBOR DR / WOODED LAKE DR,,,,1,,,,,,1
OAK LEA DR / WHITE OAK LN,1,,,,,,,,,1
OAK VALLEY DR / SOUTHMEADE CIR,,1,,,,,,,,1
OAKBURN DR / ST ANDREWS CHURCH RD,,,,,,,,,1,1
OAKDALE AVE / S 4TH ST,,1,,,,,,,,1
OAKHURST RD / WINDING CREEK PL,1,,,,,,,,,1
OAKLAND HILLS TRL / BARDSTOWN RD,,1,,,,,,,,1
OAKWOOD AVE/ LONSDALE AVE,,1,,,,,,,,1
OBOE DR / SHANKS LN,,,,,,,,,1,1
OBOE DR / SUMAC RD,1,,,,,,,,,1
ODANIEL AVE,,,,1,,,,,,1
ODANIEL AVE / WHIPPOORWILL RD,,,,1,,,,,,1
OLD BARDSTOWN RD / BARDSTOWN RD,1,,,,,,,,,1
OLD CEDAR CT / WORTHINGTON LN,,,,,,,,,1,1
OLD HARRODS CREEK RD / LINCOLN WAY,,,1,,,,,,,1
OLD HARRODS CREEK RD / WILLOW STONE WAY,,,1,,,,,,,1
OLD HAZELWOOD AVE / HAZELWOOD AVE,1,,,,,,,,,1
OLD HENRY RD @ N ENGLISH STATION RD,,1,,,,,,,,1
OLD HENRY RD / BUSH FARM RD,1,,,,,,,,,1
OLD HENRY RD / I265N,,,,,,,,,1,1
OLD HENRY RD / REAMERS RD,,1,,,,,,,,1
OLD LA GRANGE RD / S WINCHESTER ACRES RD,,1,,,,,,,,1
OLD MILL RD / STONEWALL WAY,,,1,,,,,,,1
OLD PARK BLVD / WABASSO AVE,,1,,,,,,,,1
OLD SHELBYVILLE RD / JUNEAU DR,,,1,,,,,,,1
OLD SPRINGDALE RD / SWAN HILL RD,,,1,,,,,,,1
OLD STATION RD / VILLAGE LAKE DR,1,,,,,,,,,1
OLD TOWNE RD / OLD NORTH CHURCH RD,1,,,,,,,,,1
OLDSHIRE RD / WOOD HOLLOW RD,,,,1,,,,,,1
OLIVE HILL CT / ROCHELLE RD,,,,,,,,,1,1
OMAHA LN / SWAPS LN,,1,,,,,,,,1
OMAR KHAYYAM BLVD / HALMA DR,,1,,,,,,,,1
OMAR KHAYYAM BLVD/ALANADALE,,,,1,,,,,,1
ORCHARD MANOR CIR / WHITEHALL TER,1,,,,,,,,,1
OREGON AVE / CYPRESS ST,,,1,,,,,,,1
ORMSBY STATION CT / ORMSBY STATION RD,,1,,,,,,,,1
OSAGE AVE / S 23RD ST,,,1,,,,,,,1
OSBORNE DR / BAYLEAF DR,,,1,,,,,,,1
OSCAR RD / PAMELA RAE DR,1,,,,,,,,,1
OUTER LOOP @ AIR COMMERCE DRIVE,,,,,,,,,1,1
OUTER LOOP / I 65 RAMP,1,,,,,,,,,1
OUTER LOOP / JEFFERSON BLVD,,,1,,,,,,,1
OUTER LOOP / MINOR LN,,,1,,,,,,,1
OUTER LOOP / NEW CUT RD,1,,,,,,,,,1
OUTER LOOP W / I65N,,,1,,,,,,,1
OXMOOR AVE / OXMOOR LN,1,,,,,,,,,1
PACELLI PL / NANSEMOND CIR,1,,,,,,,,,1
PAGE AVE / WROCKLAGE AVE,,,1,,,,,,,1
PAGEANT WAY/ DORA DR,,1,,,,,,,,1
PALMA RD / SEVILLE DR,1,,,,,,,,,1
PARAMOUNT DR / DIXIE HWY,1,,,,,,,,,1
PARK - CAMP TAYLOR MEMORIAL PARK,1,,,,,,,,,1
PARK - FLOYDS FORK PARK,1,,,,,,,,,1
PARK - HAYS KENNEDY PARK,,1,,,,,,,,1
PARK - LAKE DREAMLAND PARK,,1,,,,,,,,1
PARK - LAMPTON PARK,1,,,,,,,,,1
PARK - LOUISVILLE EXTREME PARK,,,,,1,,,,,1
PARK - PEEWEE PARK,,,1,,,,,,,1
PARK - PORTLAND WHARF PARK,,,,,1,,,,,1
PARK - WILLOW PARK,,,,,,1,,,,1
PARK BLVD / HURON AVE,,,1,,,,,,,1
PARK BOUNDARY RD / SPRING VALLEY LN,,,,1,,,,,,1
PARK PLAZA AVE / SPRINGDALE RD,1,,,,,,,,,1
PARKLANDS - BROAD RUN PARK - CLIFFSIDE PLAYGROUND & SPRAYGRO,,,,,,,,,1,1
PARKWOOD RD / TRIANGLE DR,,,1,,,,,,,1
PARTHENIA AVE,,,1,,,,,,,1
PARTHENIA AVE / SEELBACH AVE,,,,,,,,,1,1
PATTERSON AVE / CHEROKEE RD,,,1,,,,,,,1
PATTON CT / S 13TH ST,1,,,,,,,,,1
PAYNE ST / S JANE ST,1,,,,,,,,,1
PEALE AVE / TAYLORSVILLE RD,1,,,,,,,,,1
PEARTREE LN / WILL WAY,,,,,1,,,,,1
PEE WEE REESE RD / WILLIS AVE,,1,,,,,,,,1
PEMBROKE RD / RICHLAND AVE,,,1,,,,,,,1
PENDLETON RD / MEDORA RD,1,,,,,,,,,1
PENNSYLVANIA RUN RD / VAUGHN MILL RD,,1,,,,,,,,1
PENWAY AVE / CANE RUN RD,1,,,,,,,,,1
PERRYMAN RD / WESTPORT RD,1,,,,,,,,,1
PERRYMAN RD / WESTPORT TER,1,,,,,,,,,1
PETERSBURG RD / ELLINGTON AVE,,,1,,,,,,,1
PETERSBURG RD / UNSELD BLVD,1,,,,,,,,,1
PFLANZ AVE / N 33RD ST,,1,,,,,,,,1
PFLANZ AVE / N 34TH ST,,1,,,,,,,,1
PHILLIPS LN / STANDIFORD FIELD,1,,,,,,,,,1
PIKES PEAK BLVD / MANSLICK RD,,1,,,,,,,,1
PINE SPRINGS DR / SPRING GROVE WAY,1,,,,,,,,,1
PINE TREE DR,,1,,,,,,,,1
PINE TREE DR/TARRAGON RD,,,,,,,,,1,1
PINE VALLEY TRL / THIXTON LN,1,,,,,,,,,1
PINECROFT DR,,1,,,,,,,,1
PIRTLE ST / S 22ND ST,1,,,,,,,,,1
PLACE BLANC,1,,,,,,,,,1
PLACE VERT / W MUHAMMAD ALI BLVD,1,,,,,,,,,1
PLYMOUTH CT / S 17TH ST,,1,,,,,,,,1
POINTE ARBOR LN / STONY BROOK DR,,,,1,,,,,,1
POLO FIELDS LN / POLO FIELDS CT,,,1,,,,,,,1
POOLSIDE PL / VISTA CLUB DR,,,,,,,,1,,1
POPE ST / FRANKFORT AVE,,,,1,,,,,,1
POPE ST / S CHARLTON ST,,1,,,,,,,,1
POPLAR LEVEL RD / EASTERN PKY,1,,,,,,,,,1
POPLAR LEVEL RD / GILMORE LN,,,1,,,,,,,1
POPLAR LEVEL RD / HUNTINGTON PARK DR,,1,,,,,,,,1
POPLAR LEVEL RD / MCKINLEY AVE,,,1,,,,,,,1
POPLAR LEVEL RD / SHEILA RD,1,,,,,,,,,1
POPPY AVE / SOUTHERN FARM BLVD,,,,,,,,,1,1
PORTLAND AVE / N 24TH ST,,,1,,,,,,,1
PORTLAND AVE / N 27TH ST,,1,,,,,,,,1
PORTLAND PLZ / BANK ST,,,1,,,,,,,1
POWELL AVE / BERRY BLVD,,,1,,,,,,,1
POWELL AVE / W SOUTHERN HEIGHTS AVE,,,1,,,,,,,1
POWERHOUSE LN / NEW LA GRANGE RD,,,1,,,,,,,1
POWHATAN CT / TAZWELL DR,1,,,,,,,,,1
PRAIRIE DR / STONESTREET RD,,1,,,,,,,,1
PRESIDENTS BLVD / S PRESTON ST,,1,,,,,,,,1
PRESTON HWY / AUDUBON PKY,,1,,,,,,,,1
PRESTON HWY / BOERSTE WAY,1,,,,,,,,,1
PRESTON HWY / CHATEAU LN,,1,,,,,,,,1
PRESTON HWY / CLARKS LN,1,,,,,,,,,1
PRESTON HWY / COOPER CHAPEL RD,1,,,,,,,,,1
PRESTON HWY / DURRETT LN,,1,,,,,,,,1
PRESTON HWY / E INDIAN TRL,1,,,,,,,,,1
PRESTON HWY / I 65 RAMP,,1,,,,,,,,1
PRESTON HWY / I264E,,1,,,,,,,,1
PRESTON HWY / JEFFERSON CT,,1,,,,,,,,1
PRESTON HWY / LORETTA ST,,,1,,,,,,,1
PRESTON HWY / MEADOW AVE,,1,,,,,,,,1
PRESTON HWY / MINOR LN,1,,,,,,,,,1
PRESTON HWY / MOUNT WASHINGTON RD,,1,,,,,,,,1
PRESTON HWY / MUD LN,1,,,,,,,,,1
PRESTON HWY / PACKARD AVE,1,,,,,,,,,1
PRESTON HWY / W FERN VALLEY RD,,,1,,,,,,,1
PRESTON HWY / W INDIAN TRL,1,,,,,,,,,1
PRESTON HWY//STANDIFORD LN,,,,,,,,,1,1
PRESTON HWY/CANAL,,,,,,,,,1,1
PRESTON HWY/LIPPS LN,,,,,,,,,1,1
PRESTON HWY/MUD LN,1,,,,,,,,,1
PRESTON HWY/ST RITA DR,,,,,,,,,1,1
PRESTONVIEW LN / FOREMAN LN,,,1,,,,,,,1
PRODUCE RD / POPLAR LEVEL RD,1,,,,,,,,,1
PROPERTY,,,,,,,1,,,1
PROPERTY ROOM,1,,,,,,,,,1
QUEEN AVE / DEARCY AVE,,,1,,,,,,,1
QUEEN AVE / WARREN AVE,,,1,,,,,,,1
QUEEN AVE / WIZARD AVE,1,,,,,,,,,1
QUEST DR / W MUHAMMAD ALI BLVD,,1,,,,,,,,1
QUINCY ST / WEBSTER ST,,,,1,,,,,,1
RADIANCE RD / STANTON BLVD,1,,,,,,,,,1
RAILROAD AVE,1,,,,,,,,,1
RAILROAD AVE / SKY BLUE AVE,,,1,,,,,,,1
RAINBOW DR / BEESTON BLVD,1,,,,,,,,,1
RAINTREE DR / SILVER SPRINGS DR,,1,,,,,,,,1
RALEIGH LN / CROSS HILL RD,,,1,,,,,,,1
RALPH AVE / WESSEL RD,,1,,,,,,,,1
RAMBO WAY / VAUGHN MILL RD,1,,,,,,,,,1
RAMMERS AVE / RUFER AVE,,,1,,,,,,,1
RANDOM WAY / BARDSTOWN RD,1,,,,,,,,,1
RANGOON WAY / ROOKWOOD AVE,,,,,,,,,1,1
RAVINIA AVE / TREVILIAN WAY,1,,,,,,,,,1
RAYBURN RD / THUNDER DR,,,1,,,,,,,1
RAZOR CT / VALLEY PARK DR,,,1,,,,,,,1
REALITY TRL / VISION PL,,,,1,,,,,,1
RED LEAF RD,1,,,,,,,,,1
RED LEAF RD / RED OAK LN,,,,,,,,,1,1
RED MAPLE WAY / SUGAR MAPLE CT,,1,,,,,,,,1
RED OAK LN / BRENDA DR,,1,,,,,,,,1
REDLEAF DR / STAGHORN DR,,,,,,,,,1,1
REDWOOD DR / POPLAR LEVEL RD,1,,,,,,,,,1
REE CT / REE DR,,1,,,,,,,,1
REGAL DR / REVERE DR,,,,1,,,,,,1
REIGH COUNT DR / PLAUDIT WAY,,1,,,,,,,,1
RESERVOIR AVE / FRANKFORT AVE,,1,,,,,,,,1
RESERVOIR AVE / TAYLOR AVE,,,,1,,,,,,1
RESERVOIR AVE / ZORN AVE,,1,,,,,,,,1
REUTLINGER AVE/RUFER AVE,,,,1,,,,,,1
RIBBLE RD / SENECA BLVD,,,1,,,,,,,1
RICHMOND DR / ROSEDALE AVE,,,,1,,,,,,1
RICHMONT RD / BROADLEAF DR,1,,,,,,,,,1
RIDGE RD / SHADY LN,1,,,,,,,,,1
RIDGECREST RD / RANGELAND RD,1,,,,,,,,,1
RIEDLEY RD / WAYNE RD,1,,,,,,,,,1
RILEY AVE / W LEE ST,,,1,,,,,,,1
RIVER FIELD DR / TEXLYN CT,1,,,,,,,,,1
RIVER GLEN LN / ROSE ISLAND RD,1,,,,,,,,,1
RIVER PARK DR / S 30TH ST,,,1,,,,,,,1
RIVER PARK DR / S 43RD ST,,1,,,,,,,,1
RIVER RD / RIVERSIDE BEACH RD,,,1,,,,,,,1
RIVER RD / ROCKLEDGE DR,1,,,,,,,,,1
RIVER RD / WAGNERS BEACH RD,1,,,,,,,,,1
RIVER RD / WATERGLEN PL,,,1,,,,,,,1
ROADWAY AVE / TAYLOR BLVD,,,1,,,,,,,1
ROBARDS CT / ROBARDS LN,,1,,,,,,,,1
ROBBINS RD / MARK DR,,,1,,,,,,,1
ROBBS LN,,,,,,,,,1,1
ROBERSON RUN WALKING PATH,,,,,1,,,,,1
ROBINDALE RD / N WATTERSON TRL,1,,,,,,,,,1
ROCK BAY CT / ROCK BAY DR,1,,,,,,,,,1
ROCK BAY DR / REAMERS RD,,,1,,,,,,,1
ROCK BLUFF DR / PEBBLE CREEK DR,,1,,,,,,,,1
ROCK WATER DR / FALLING SPRINGS DR,1,,,,,,,,,1
ROCKAWAY CIR / ROCKAWAY DR,,,1,,,,,,,1
ROCKCREST CIR / ROCKCREST WAY,,,,1,,,,,,1
ROCKCREST WAY / ROCKCREST VIEW LN,,,,,,,1,,,1
ROCKFORD LN / GRASTON AVE,,1,,,,,,,,1
ROCKFORD LN / ROCKFORD PLZ,,,,1,,,,,,1
ROCKWOOD RD / RONWOOD DR,1,,,,,,,,,1
RODMAN ST / HEYWOOD AVE,1,,,,,,,,,1
RODMAN ST / TAYLOR BLVD,1,,,,,,,,,1
ROGER E SCHUPP ST / TINKER BLVD,,,1,,,,,,,1
ROGERS ST / BISHOP ST,,,1,,,,,,,1
ROLLING HILLS,,,1,,,,,,,1
ROLLING ROCK CT / WORTHINGTON GLEN DR,,,,1,,,,,,1
ROOSEVELT AVE / SPRINGDALE DR,,,,,,,,,1,1
ROOSEVELT AVE / WILSON AVE,,,,1,,,,,,1
ROSEBOROUGH RD / SANDIDGE DR,,,1,,,,,,,1
ROSEBOROUGH RD / VAUGHN MILL RD,1,,,,,,,,,1
ROSEDALE AVE / RUTHERFORD AVE,,,1,,,,,,,1
ROSELANE ST / S JACKSON ST,1,,,,,,,,,1
ROSEWOOD AVE / BELLWOOD AVE,,,1,,,,,,,1
ROWAN ST / N 24TH ST,,1,,,,,,,,1
ROWAN ST / N 26TH ST,1,,,,,,,,,1
ROY WILKINS AVE / MAGAZINE ST,,,1,,,,,,,1
ROY WILKINS AVE / W CHESTNUT ST,1,,,,,,,,,1
ROY WILKINS AVE / W MUHAMMAD ALI BLVD,,1,,,,,,,,1
RUBEL AVE / HEPBURN AVE,,1,,,,,,,,1
RUBEL AVE / MORTON AVE,,,1,,,,,,,1
RUBEL AVE / PAYNE ST,,,1,,,,,,,1
RUFER AVE / REUTLINGER AVE,1,,,,,,,,,1
RUNNING CREEK PL / RUNNING CREEK RD,,1,,,,,,,,1
RUNNING FOX CIR / SANTOM LN,1,,,,,,,,,1
RUSSELL LEE DR / YOUNG AVE,1,,,,,,,,,1
S 11TH ST / DUMESNIL ST,,1,,,,,,,,1
S 11TH ST / ST LOUIS AVE,1,,,,,,,,,1
S 11TH ST / W MAGNOLIA AVE,,,1,,,,,,,1
S 11TH ST / WILSON AVE,,1,,,,,,,,1
S 12TH ST / DUMESNIL ST,,,,1,,,,,,1
S 12TH ST / QUALITY CHOICE PL,,,,,,,,,1,1
S 12TH ST / S 11TH ST,1,,,,,,,,,1
S 13TH ST / WILSON AVE,,,,,,,,,1,1
S 15TH ST,1,,,,,,,,,1
S 15TH ST/ANDERSON,,1,,,,,,,,1
S 16TH ST / ESQUIRE ALY,,,,,,,,,1,1
S 16TH ST / STONE ALY,,,,1,,,,,,1
S 17TH ST / STONE ALY,,,,1,,,,,,1
S 19TH ST / EDDY ST,1,,,,,,,,,1
S 1ST ST / HILL BEND PL,1,,,,,,,,,1
S 1ST ST / MOHAWK AVE,,,1,,,,,,,1
S 1ST ST / W ASHLAND AVE,,,1,,,,,,,1
S 1ST ST / W EVELYN AVE,,,,1,,,,,,1
S 1ST ST / W LANSING AVE,1,,,,,,,,,1
S 1ST ST / W WELLINGTON AVE,1,,,,,,,,,1
S 20TH ST / W MAIN ST,,,1,,,,,,,1
S 22ND ST / MARY F HACKLEY ALY,,1,,,,,,,,1
S 22ND ST / W MAIN ST,,,1,,,,,,,1
S 22ND ST / WINGFIELD LN,1,,,,,,,,,1
S 24TH ST / BURWELL AVE,,1,,,,,,,,1
S 25TH ST // DUMESNIL,,,1,,,,,,,1
S 26TH ST,,,,,,,,,1,1
S 2ND ST / CAMBRIDGE DR,,,1,,,,,,,1
S 2ND ST / M ST,,,,1,,,,,,1
S 2ND ST / N ARBOR PARK,,,1,,,,,,,1
S 2ND ST / S ARBOR PARK,1,,,,,,,,,1
S 2ND ST / SENECA TRL,,,,1,,,,,,1
S 2ND ST / W SOUTHERN HEIGHTS AVE,1,,,,,,,,,1
S 2ND ST/FLORENCE,1,,,,,,,,,1
S 30TH ST / EDDY ST,,,,1,,,,,,1
S 30TH ST / STONE ALY,,1,,,,,,,,1
S 34TH ST,1,,,,,,,,,1
S 34TH ST / CHAUNCEY AVE,,,1,,,,,,,1
S 34TH ST / I264,,,1,,,,,,,1
S 34TH ST / STRATTON AVE,,1,,,,,,,,1
S 34TH ST / W MAGNOLIA AVE,,,1,,,,,,,1
S 34TH ST / W MAIN ST,,,1,,,,,,,1
S 35TH ST / DR WILLIAM G WEATHERS DR,,1,,,,,,,,1
S 35TH ST / SHERRILL AVE,,1,,,,,,,,1
S 35TH ST / STRATTON AVE,,,1,,,,,,,1
S 36TH ST / BOHNE AVE,,,1,,,,,,,1
S 36TH ST / STRATTON AVE,1,,,,,,,,,1
S 38TH ST / VIRGINIA AVE,1,,,,,,,,,1
S 3RD ST/W KINGSTON AVE,,,,,,,,,1,1
S 40TH ST,,,1,,,,,,,1
S 42ND ST,,1,,,,,,,,1
S 43RD ST / VIRGINIA AVE,1,,,,,,,,,1
S 44TH ST / W KENTUCKY ST,,1,,,,,,,,1
S 45TH ST / GRAND AVE,1,,,,,,,,,1
S 4TH ST / GREEK WAY,,,,,,,,,1,1
S 4TH ST / LIBRARY PL,,1,,,,,,,,1
S 4TH ST / W AMHERST AVE,,,,,,,,,1,1
S 4TH ST/CENTRAL AVE,,,,1,,,,,,1
S 5TH ST / BURKLEY AVE,,,1,,,,,,,1
S 5TH ST / CHRISTOPHER PL,,,1,,,,,,,1
S 5TH ST / EXPRESSWAY AVE,1,,,,,,,,,1
S 5TH ST / FREEMAN AVE,,1,,,,,,,,1
S 5TH ST / SPANISH CT,,1,,,,,,,,1
S 5TH ST/CHESTNUT,,,,1,,,,,,1
S 6TH ST / COLORADO AVE,1,,,,,,,,,1
S 6TH ST / COURT PL,1,,,,,,,,,1
S 6TH ST / DR MARTIN LUTHER KING PL,,,,1,,,,,,1
S 6TH ST / EXPRESSWAY AVE,,,,1,,,,,,1
S 6TH ST / HILL TOP CT,,,,1,,,,,,1
S 6TH ST / KLEIER AVE,,,1,,,,,,,1
S 6TH ST / MIX AVE,1,,,,,,,,,1
S 6TH ST / W FLORENCE AVE,,,,1,,,,,,1
S 6TH ST / W SOUTHERN HEIGHTS AVE,,1,,,,,,,,1
S 6TH ST/JAIL,,,,1,,,,,,1
S 7TH ST / DUMESNIL ST,,,,1,,,,,,1
S 8TH ST / CONGRESS ALY,,,,1,,,,,,1
S 8TH ST / W BURNETT AVE,1,,,,,,,,,1
S BARBEE WAY / HANCOCK CROSSWAY,,,,,,,,,1,1
S BAYLY AVE / CALEDONIA AVE,1,,,,,,,,,1
S BECKLEY STATION RD / I64,,,1,,,,,,,1
S BECKLEY STATION RD / WIBBLE HILL RD,,,,1,,,,,,1
S BIRCHWOOD AVE / GRINSTEAD DR,,,1,,,,,,,1
S BROOK ST / E FAIRMONT AVE,,,,1,,,,,,1
S BROOK ST / E PIN ALY,,1,,,,,,,,1
S BROOK ST / S 1ST ST,,1,,,,,,,,1
S CLAY ST / CALDWELL ST,,,1,,,,,,,1
S CLAY ST / S SHELBY ST,,,1,,,,,,,1
S CRUMS LN / CANE RUN RD,1,,,,,,,,,1
S CRUMS LN / LYNNVIEW DR,,,1,,,,,,,1
